Ap,Bp,Cp,Rp,Irradiance,Scintillation Index,Simulated Optical Channel State,Al,Cl,Rl,Source Initial Position,Wp,Wl,Attenuation Factor,G1,G2,G3,G4
0.701070876,-1.419125955,-1.411782294,1.67962034,1.567329181,0.908570957,1.473335624,0.752957752,0.705342629,-0.854868794,-0.069291113,0.540642038,0.849026301,-1.692423818,0.883285146,0.86728402,0.86728402,1.209158395
-0.714947859,0.711054104,-0.706138123,0.923929184,0.873713275,0.908570957,0.177569039,1.288018836,-0.000706049,-0.171766158,1.085108059,1.84806703,-1.297274164,1.226599249,1.08000928,1.078471414,1.078471414,1.645640065
1.409080243,0.711054104,-1.411782294,0.700656797,-1.553942394,1.666907098,-1.060608208,0.906808977,1.411391306,0.596724308,1.424637228,-2.280050658,0.017023916,0.88318477,0.99310564,-0.142944899,-0.142944899,5.032310642
0.701070876,1.421114123,-1.411782294,-0.913774309,-0.166710583,-0.860880039,-0.743864977,-0.911148475,-0.706754726,0.084397331,0.066520555,0.867953903,-0.979085058,0.110502194,0.985583438,0.840488839,0.840488839,2.202067109
1.409080243,1.421114123,0.705150221,-1.532067074,1.567329181,-1.703475752,0.724670486,1.099518192,1.411391306,1.706766091,1.424637228,0.31984751,-1.547850236,1.312452869,0.883731764,0.867588238,0.867588238,1.209336827
1.409080243,1.421114123,-1.411782294,-1.092392219,0.526905323,-1.282177896,0.638286047,0.21758113,-0.706754726,0.682112137,1.560448895,-1.320668364,-0.0959812,1.398306488,1.11393518,1.079985776,1.079985776,1.883470706
-0.714947859,-1.419125955,1.410794393,0.13732339,0.526905323,0.740051814,-0.974223481,-0.865229097,-1.412803404,0.340560819,0.881390558,-0.439014643,-0.619195638,0.96903839,1.11391226,1.079943512,1.079943512,1.883700135
-0.006938492,-0.709065936,-0.706138123,0.027404676,0.873713275,1.245609242,-1.665299281,0.866878646,0.705342629,-0.513317476,-0.476726115,0.343913024,0.242401801,-0.748034002,1.07995623,1.078240947,1.078240947,1.646228357
0.701070876,1.421114123,1.410794393,0.339986018,-0.166710583,0.908570957,-0.830249416,-0.822294844,-0.000706049,-0.342541817,1.28882556,3.607662027,-0.727167358,-1.177302101,0.985511925,0.840460247,0.840460247,2.202207932
1.409080243,-0.709065936,0.705150221,-1.008235704,-1.553942394,-0.945139611,-0.945428668,0.493640681,1.411391306,0.16978516,-0.137196946,2.791707839,0.154847098,-0.662180383,0.993101054,-0.142771323,-0.142771323,5.037097467
